Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Model
0,1.075613478342692,0.9914029223124187,0.5026666666666667,0.496,Model V0
1,0.9436100587844849,0.9254807691574096,0.53775,0.559,Model V0
2,0.9255860074361165,0.9025841048558553,0.5525,0.5726666666666667,Model V0
3,0.910435039361318,0.9118810550371805,0.56575,0.5586666666666666,Model V0
4,0.8993761647542318,0.8923394964536031,0.57075,0.562,Model V0
5,0.8907404182751973,0.8852600847880046,0.579,0.5726666666666667,Model V0
6,0.8790275963147481,0.8788211541175842,0.5775,0.5803333333333334,Model V0
7,0.8760115176836649,0.8812824691136678,0.58125,0.5723333333333334,Model V0
8,0.8740783618291219,0.8552110117276509,0.59,0.5913333333333334,Model V0
9,0.8654229847590128,0.8702032211621602,0.5943333333333334,0.5876666666666667,Model V0
10,0.8557739243507385,0.8608241291046143,0.6013333333333334,0.603,Model V0
11,0.8487393161455791,0.8363367449442546,0.60125,0.614,Model V0
12,0.8393573703765869,0.8683797529538473,0.60775,0.596,Model V0
13,0.8404777275721232,0.8466729952494303,0.6073333333333333,0.6016666666666667,Model V0
14,0.8369850681622824,0.8494577425320943,0.6091666666666666,0.5963333333333334,Model V0
15,0.8367430682182312,0.8648889387448628,0.60925,0.5936666666666667,Model V0
16,0.8277579372723898,0.8641444681485494,0.6095,0.5923333333333334,Model V0
17,0.8342821818987528,0.8344627849260966,0.6123333333333333,0.614,Model V0
18,0.8290491835276286,0.8416129670143128,0.6195,0.6006666666666667,Model V0
19,0.8261694396336874,0.8408545559247335,0.6155833333333334,0.601,Model V0
20,0.8223577949206035,0.8419830514589945,0.61775,0.6063333333333333,Model V0
21,0.8196052567164103,0.8388900148073832,0.62375,0.614,Model V0
22,0.826943882783254,0.8610328761736552,0.6144166666666667,0.5856666666666667,Model V0
23,0.8240488483111064,0.8585634503364563,0.6174166666666666,0.5986666666666667,Model V0
24,0.8114317062695822,0.819436736424764,0.6283333333333333,0.612,Model V0
25,0.7944639406204224,0.8297331476211548,0.6360833333333333,0.6136666666666667,Model V0
26,0.7926873215039572,0.8129489053090413,0.631,0.628,Model V0
27,0.7888489739100139,0.8087580116589864,0.6365,0.6243333333333333,Model V0
